Problem Number;Change Date;Problem Status;Problem Sub Status;ST Function Division;Org Line;Owner ST;Support Line Number;Problem Latest Impact;Product;Country;Action Owner Country;Action Owner First Name
1-236817141;2009-12-02 14:24;Accepted;Wait;A2_2; A2;G167;2nd;Medium;PROD681;cn;Sweden;Tomas
1-236817141;2010-08-25 10:06;Queued;Awaiting Assignment;A2_2; A2;G167;2nd;Medium;PROD681;cn;Sweden;Tomas
1-236817141;2011-09-03 07:02;Accepted;In Progress;A2_2; A2;M1;2nd;Medium;PROD681;cn;Sweden;Tomas
1-236817141;2011-11-14 16:09;Accepted;Assigned;A2_2; A2;G167;2nd;Medium;PROD681;cn;Sweden;Niklas
1-236817141;2012-01-05 14:08;Accepted;In Progress;A2_2; A2;M1;2nd;Medium;PROD681;cn;Sweden;Tomas
1-236817141;2012-01-05 14:09;Completed;Closed;A2_2; A2;M1;2nd;Medium;PROD681;cn;Sweden;Tomas
1-270427461;2008-11-13 11:01;Accepted;In Progress;A2_2; A2;M1;2nd;Low;PROD753;cn;Sweden;Tomas
1-270427461;2009-12-02 14:24;Accepted;Wait;A2_2; A2;M1;2nd;Low;PROD753;cn;Sweden;Tomas
1-270427461;2011-11-14 15:57;Accepted;In Progress;A2_2; A2;M1;2nd;Low;PROD753;cn;Sweden;Tomas
1-345132462;2010-01-14 10:34;Accepted;In Progress;A2_2; A2;M1;2nd;Medium;PROD753;cn;Sweden;Tomas
1-345132462;2010-01-27 10:43;Accepted;Wait;A2_2; A2;M1;2nd;Medium;PROD753;cn;Sweden;Tomas
1-345132462;2010-02-03 10:20;Accepted;Assigned;A2_2; A2;M1;2nd;Medium;PROD753;cn;Sweden;Tomas
1-345132462;2010-02-22 08:33;Accepted;Wait;A2_2; A2;M1;2nd;Medium;PROD753;cn;Sweden;Tomas
1-345132462;2011-09-01 23:17;Accepted;In Progress;A2_2; A2;M1;2nd;Medium;PROD753;cn;Sweden;Tomas
1-351314317;2010-02-03 09:34;Accepted;In Progress;A2_2; A2;G21;2nd;Medium;PROD98;us;POLAND;Ewa
1-351314317;2010-02-03 09:45;Queued;Awaiting Assignment;A2_2; A2;G21;2nd;Medium;PROD98;us;POLAND;Ewa
1-351314317;2010-02-03 10:40;Accepted;In Progress;A2_2; A2;G21;2nd;Medium;PROD98;us;POLAND;Ewa
1-351314317;2010-02-03 10:40;Accepted;Assigned;A2_2; A2;G21;2nd;Medium;PROD98;us;POLAND;Ewa
1-351314317;2011-12-20 22:25;Accepted;In Progress;A2_2; A2;G21;2nd;Medium;PROD98;us;POLAND;Ewa
1-351314317;2012-01-03 13:13;Completed;Closed;A2_2; A2;G21;2nd;Medium;PROD98;us;POLAND;Ewa
1-354039443;2011-12-28 15:05;Accepted;In Progress;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-354039443;2012-01-30 12:29;Completed;Closed;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-354350908;2010-02-16 11:03;Accepted;Wait;A2_2; A2;M1;2nd;Medium;PROD753;cn;Sweden;Tomas
1-354350908;2011-09-01 23:16;Accepted;In Progress;A2_2; A2;M1;2nd;Medium;PROD753;cn;Sweden;Tomas
1-354376900;2010-02-16 11:04;Accepted;Wait;A2_2; A2;M1;2nd;Medium;PROD753;cn;Sweden;Tomas
1-354376900;2011-09-01 23:16;Accepted;In Progress;A2_2; A2;M1;2nd;Medium;PROD753;cn;Sweden;Tomas
1-357087417;2011-12-28 16:01;Accepted;In Progress;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-357087417;2012-01-30 12:30;Completed;Closed;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-359841262;2010-03-11 14:06;Accepted;In Progress;A2_2; A2;M1;2nd;High;PROD753;cn;Sweden;Tomas
1-359841262;2010-03-11 14:10;Accepted;In Progress;A2_2; A2;M1;2nd;High;PROD753;cn;Sweden;Tomas
1-359841262;2010-03-11 14:12;Queued;Awaiting Assignment;A2_2; A2;M1;2nd;High;PROD753;cn;Sweden;Tomas
1-359841262;2010-03-11 14:12;Accepted;In Progress;A2_2; A2;G4;2nd;High;PROD753;cn;POLAND;Pawel
1-359841262;2010-03-11 14:12;Queued;Awaiting Assignment;A2_2; A2;M1;2nd;High;PROD753;cn;Sweden;Tomas
1-359841262;2010-03-11 14:13;Accepted;In Progress;A2_2; A2;M1;2nd;High;PROD753;cn;POLAND;Pawel
1-359841262;2010-07-20 08:25;Accepted;Assigned;A2_2; A2;M1;2nd;High;PROD753;cn;Sweden;Tomas
1-359841262;2011-09-05 08:28;Accepted;In Progress;A2_2; A2;M1;2nd;High;PROD753;cn;Sweden;Tomas
1-360072755;2010-08-25 10:04;Queued;Awaiting Assignment;A2_2; A2;G167;2nd;Medium;PROD681;se;Sweden;Tomas
1-360072755;2011-09-03 06:49;Accepted;In Progress;A2_2; A2;M1;2nd;Medium;PROD681;se;Sweden;Tomas
1-360072755;2011-11-14 16:10;Accepted;Assigned;A2_2; A2;G167;2nd;Medium;PROD681;se;Sweden;Niklas
1-360072755;2012-01-12 09:23;Accepted;Wait;A2_2; A2;G167;2nd;Medium;PROD681;se;Sweden;Niklas
1-360464815;2010-03-15 14:40;Accepted;In Progress;D_1; A2;L50;3rd;Medium;PROD611;in;Sweden;Panigrahy
1-360464815;2010-04-15 15:32;Accepted;Wait;D_1; A2;L50;3rd;Medium;PROD611;in;Sweden;Panigrahy
1-360464815;2011-06-09 10:37;Accepted;In Progress;D_1; A2;L50;3rd;Medium;PROD611;in;Sweden;Panigrahy
1-360464815;2012-02-21 14:57;Completed;Closed;D_1; A2;L50;3rd;Medium;PROD611;in;Sweden;Panigrahy
1-363206822;2010-03-26 14:03;Accepted;In Progress;A2_2; A2;G4;2nd;Low;PROD753;cn;POLAND;Pawel
1-363206822;2010-03-26 14:05;Accepted;In Progress;A2_2; A2;G4;2nd;Low;PROD753;cn;POLAND;Pawel
1-363206822;2010-03-26 14:05;Queued;Awaiting Assignment;A2_2; A2;M1;2nd;Low;PROD753;cn;Sweden;Tomas
1-363206822;2011-09-05 08:28;Accepted;In Progress;A2_2; A2;M1;2nd;Low;PROD753;cn;Sweden;Tomas
1-363549934;2012-01-19 10:09;Accepted;In Progress;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-363549934;2012-01-19 10:10;Completed;Closed;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-364528467;2012-01-19 10:14;Accepted;In Progress;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-364528467;2012-01-19 10:14;Completed;Closed;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-366584206;2012-01-09 11:25;Accepted;In Progress;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-366584206;2012-01-09 11:25;Completed;Closed;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-366698569;2010-04-13 13:37;Accepted;In Progress;; G4;S29;2nd;High;PROD368;se;Sweden;Jerker
1-366698569;2010-04-19 15:59;Accepted;In Progress;; G4;S29;2nd;High;PROD368;se;Sweden;Jerker
1-366726662;2010-04-13 13:50;Accepted;In Progress;; G4;S29;2nd;Medium;PROD368;se;Sweden;Jerker
1-366726662;2010-04-19 15:59;Accepted;In Progress;; G4;S29;2nd;Medium;PROD368;se;Sweden;Jerker
1-366923538;2012-01-04 16:55;Accepted;In Progress;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-366923538;2012-01-30 14:05;Completed;Closed;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-367921041;2011-08-24 20:27;Queued;Awaiting Assignment;E_10; B;G230;2nd;Medium;PROD262;in;INDIA;Srinivasan
1-367921041;2011-08-29 03:54;Accepted;In Progress;E_10; B;G230;2nd;Medium;PROD262;in;INDIA;Aneesh V
1-367921041;2011-08-29 03:55;Accepted;Assigned;E_10; B;G230;2nd;Medium;PROD262;in;INDIA;Rijin
1-367921041;2011-08-29 13:48;Accepted;In Progress;E_10; B;G230;2nd;Medium;PROD262;in;INDIA;Rijin
1-367921041;2011-11-11 15:57;Accepted;Assigned;E_10; B;G230;2nd;Medium;PROD262;in;INDIA;Aneesh V
1-367921041;2011-11-21 08:27;Accepted;Wait;E_10; B;G230;2nd;Medium;PROD262;in;INDIA;Aneesh V
1-367921041;2012-02-29 17:54;Accepted;In Progress;E_10; B;G230;2nd;Medium;PROD262;in;INDIA;Aneesh V
1-367921041;2012-02-29 17:56;Completed;Closed;E_10; B;G230;2nd;Medium;PROD262;in;INDIA;Aneesh V
1-370436092;2010-04-29 08:23;Accepted;In Progress;V3_3; C;V42;2nd;Major;PROD793;fr;France;Celine
1-370436092;2010-04-29 08:23;Queued;Awaiting Assignment;V3_3; C;V42;2nd;Major;PROD793;fr;France;Celine
1-370436092;2010-05-04 13:28;Accepted;In Progress;V3_3; C;V42;2nd;Major;PROD793;fr;France;Celine
1-370436092;2010-11-09 18:47;Accepted;In Progress;V3_3; C;V42;2nd;Major;PROD793;fr;France;Celine
1-372029512;2010-10-19 13:43;Accepted;Assigned;C_6; C;G250;3rd;Low;PROD660;se;Sweden;Tomas
1-372029512;2011-10-20 13:21;Accepted;Wait;C_6; C;G250;3rd;Low;PROD660;se;Sweden;Tomas
1-372029512;2012-01-30 13:18;Completed;Closed;C_6; C;G250;3rd;Low;PROD660;se;Sweden;Tomas
1-372978779;2012-01-30 13:58;Accepted;In Progress;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-372978779;2012-01-30 14:38;Completed;Closed;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-373110819;2012-02-03 07:48;Accepted;In Progress;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-373110819;2012-02-03 07:50;Completed;Closed;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-373268674;2012-02-03 07:51;Accepted;In Progress;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-373268674;2012-02-03 07:52;Completed;Closed;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-373413519;2012-01-30 12:59;Accepted;In Progress;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-373413519;2012-01-30 13:00;Completed;Closed;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-373413971;2012-02-03 07:54;Accepted;In Progress;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-373413971;2012-02-04 08:48;Completed;Closed;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-374832944;2011-11-01 17:30;Accepted;Assigned;E_7; C;G162;2nd;Low;PROD660;in;Sweden;Anna
1-374832944;2012-02-01 13:57;Accepted;In Progress;E_7; C;G162;2nd;Low;PROD660;in;Sweden;Anna
1-374832944;2012-02-01 13:58;Completed;Closed;E_7; C;G162;2nd;Low;PROD660;in;Sweden;Anna
1-375644051;2010-05-25 11:42;Accepted;In Progress;E_10; C;G276;2nd;Medium;PROD698;se;0;Sumesh
1-375644051;2010-05-25 11:49;Accepted;Wait;E_10; C;G276;2nd;Medium;PROD698;se;0;Sumesh
1-375644051;2011-06-29 15:13;Accepted;In Progress;E_10; C;G276;2nd;Medium;PROD698;se;0;Sumesh
1-375644051;2011-11-23 12:47;Queued;Awaiting Assignment;E_10; C;G276;2nd;Medium;PROD698;se;Sweden;Prasad
1-378050311;2010-06-22 10:37;Accepted;In Progress;E_7; C;G153;2nd;High;PROD153;se;Sweden;Peter
1-378050311;2010-07-09 10:03;Accepted;In Progress;E_7; C;G134;2nd;High;PROD153;se;Sweden;Peter
1-378050311;2010-07-09 10:05;Accepted;In Progress;E_7; C;G134;2nd;High;PROD153;se;Sweden;Peter
1-378050311;2010-11-08 13:35;Accepted;In Progress;E_7; C;G134;2nd;High;PROD153;se;Sweden;Peter
1-378050311;2011-11-30 13:59;Queued;Awaiting Assignment;; F;S1;2nd;High;PROD153;se;Sweden;Craig
1-378050311;2012-02-27 08:12;Accepted;In Progress;; F;S1;2nd;High;PROD153;se;Sweden;Stefan
1-378050311;2012-02-27 08:13;Completed;Closed;; F;S1;2nd;High;PROD153;se;Sweden;Stefan
1-378744625;2011-11-01 17:29;Accepted;Assigned;E_7; C;G162;2nd;Medium;PROD660;in;Sweden;Anna
1-378744625;2012-02-01 13:59;Accepted;In Progress;E_7; C;G162;2nd;Medium;PROD660;in;Sweden;Anna
1-378744625;2012-02-01 13:59;Completed;Closed;E_7; C;G162;2nd;Medium;PROD660;in;Sweden;Anna
1-380392616;2012-02-04 09:20;Accepted;In Progress;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-380392616;2012-02-04 10:19;Completed;Closed;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-380527184;2012-02-04 10:20;Accepted;In Progress;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-380527184;2012-02-04 10:31;Completed;Closed;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-380632889;2010-06-16 15:09;Accepted;In Progress;; G4;S29;2nd;High;PROD551;se;Sweden;David
1-380632889;2010-08-16 11:24;Queued;Awaiting Assignment;; G4;S29;2nd;High;PROD551;se;Sweden;David
1-380654568;2011-12-30 11:09;Accepted;In Progress;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-380654568;2012-01-30 12:31;Completed;Closed;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-382209384;2010-06-23 13:13;Accepted;In Progress;A2_2; A2;M1;2nd;Medium;PROD681;se;Sweden;Tomas
1-382209384;2011-09-03 06:46;Accepted;In Progress;A2_2; A2;M1;2nd;Medium;PROD681;se;Sweden;Tomas
1-382209384;2011-11-14 16:10;Accepted;Assigned;A2_2; A2;G167;2nd;Medium;PROD681;se;Sweden;Niklas
1-382442048;2012-02-04 10:27;Accepted;In Progress;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-382442048;2012-02-04 10:30;Completed;Closed;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-384097130;2011-03-10 16:02;Accepted;Assigned;C_6; C;G141;3rd;Medium;PROD660;se;Sweden;Jonas
1-384097130;2011-03-29 09:44;Accepted;In Progress;C_6; C;G141;3rd;Medium;PROD660;se;Sweden;Jonas
1-384097130;2011-04-13 14:23;Accepted;Wait;C_6; C;G141;3rd;Medium;PROD660;se;Sweden;Jonas
1-384757914;2012-02-04 10:31;Accepted;In Progress;A2_2; A2;G21;2nd;Medium;PROD98;us;POLAND;Ewa
1-384757914;2012-02-04 10:37;Completed;Closed;A2_2; A2;G21;2nd;Medium;PROD98;us;POLAND;Ewa
1-385201933;2010-07-08 03:50;Accepted;In Progress;; G4;S33;2nd;High;PROD374;se;Sweden;Joakim
1-385201933;2010-07-08 04:04;Queued;Awaiting Assignment;; G4;S33;2nd;High;PROD374;se;Sweden;Joakim
1-385201933;2010-09-07 12:57;Accepted;Assigned;; G4;S33;2nd;High;PROD374;se;Sweden;Per
1-385201933;2010-09-23 09:26;Accepted;In Progress;; G4;S33;2nd;High;PROD374;se;Sweden;Per
1-385201933;2010-12-05 13:27;Accepted;Wait;; G4;S33;2nd;High;PROD374;se;Sweden;Per
1-385201933;2012-01-26 11:39;Completed;Closed;; G4;S33;2nd;High;PROD374;se;Sweden;Per
1-385311756;2012-02-04 10:38;Accepted;In Progress;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-385311756;2012-02-04 10:40;Completed;Closed;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-388644366;2012-01-30 15:48;Accepted;In Progress;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-388644366;2012-01-30 15:48;Completed;Closed;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-390250582;2010-08-09 16:21;Accepted;In Progress;C_6; C;N54;3rd;Low;PROD424;se;USA;Stephen
1-390250582;2010-08-12 14:09;Accepted;Wait;C_6; C;N54;3rd;Low;PROD424;se;USA;Stephen
1-390250582;2010-08-18 10:28;Accepted;Assigned;C_6; C;G261;3rd;Low;PROD424;se;USA;Stephen
1-390250582;2010-08-18 14:42;Accepted;In Progress;C_6; C;G261;3rd;Low;PROD424;se;USA;Stephen
1-390722958;2010-08-11 09:39;Accepted;In Progress;; G4;S30;2nd;Low;PROD412;se;Sweden;Christer
1-390722958;2012-01-16 14:43;Accepted;Assigned;; G4;S30;2nd;Low;PROD412;se;Sweden;Christer
1-390722958;2012-03-23 13:53;Accepted;In Progress;; G4;S30;2nd;Low;PROD412;se;Sweden;Christer
1-390722958;2012-03-23 13:54;Completed;Closed;; G4;S30;2nd;Low;PROD412;se;Sweden;Christer
1-392812598;2012-01-04 16:58;Accepted;In Progress;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-392812598;2012-01-04 16:59;Completed;Closed;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-397446945;2012-01-31 09:01;Accepted;In Progress;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-397446945;2012-01-31 09:02;Completed;Closed;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-399013423;2010-09-06 11:04;Queued;Awaiting Assignment;; G4;G51;2nd;Medium;PROD821;se;Sweden;Ing-Marie
1-399628501;2010-09-07 14:19;Accepted;In Progress;; G4;S29;2nd;Medium;PROD368;se;Sweden;David
1-399628501;2010-12-02 11:45;Accepted;Assigned;; G4;S29;2nd;Medium;PROD368;se;Sweden;David
1-402328919;2010-09-16 15:39;Accepted;In Progress;A2_2; A2;M1;2nd;Low;PROD753;cn;Sweden;Tomas
1-402328919;2012-05-29 09:32;Completed;Closed;A2_2; A2;M1;2nd;Low;PROD753;cn;Sweden;Tomas
1-403006315;2012-01-31 09:54;Accepted;In Progress;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-403006315;2012-01-31 09:59;Completed;Closed;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-404005175;2010-09-23 15:32;Accepted;In Progress;; G4;S33;2nd;Low;PROD304;se;Sweden;Per
1-404005175;2010-12-05 13:28;Accepted;Wait;; G4;S33;2nd;Low;PROD304;se;Sweden;Per
1-404005175;2012-01-26 12:06;Completed;Closed;; G4;S33;2nd;Low;PROD304;se;Sweden;Per
1-404084309;2010-09-23 18:58;Accepted;In Progress;; G4;S33;2nd;Low;PROD374;se;Sweden;Per
1-404084309;2011-01-14 14:54;Accepted;Wait;; G4;S33;2nd;Low;PROD374;se;Sweden;Per
1-404084309;2012-02-29 15:32;Accepted;Wait;; G4;S33;2nd;Low;PROD374;se;Sweden;Per
1-404084309;2012-02-29 15:32;Completed;Closed;; G4;S33;2nd;Low;PROD374;se;Sweden;Per
1-404736991;2010-09-29 08:53;Accepted;In Progress;E_10; B;G230;2nd;Medium;PROD424;in;France;Nicolas
1-404736991;2010-11-16 11:09;Accepted;In Progress;E_10; B;G230;2nd;Medium;PROD424;in;INDIA;Rijin
1-404736991;2010-11-16 11:22;Accepted;In Progress;E_10; B;G230;2nd;Medium;PROD424;in;INDIA;Rijin
1-404736991;2010-11-19 17:26;Accepted;Wait;E_10; B;G230;2nd;Medium;PROD424;in;INDIA;Rijin
1-404736991;2011-06-30 09:22;Accepted;In Progress;E_10; B;G230;2nd;Medium;PROD424;in;INDIA;Rijin
1-404736991;2011-07-01 16:08;Accepted;Wait;E_10; B;G230;2nd;Medium;PROD424;in;INDIA;Rijin
1-404736991;2012-02-29 18:04;Accepted;In Progress;E_10; B;G230;2nd;Medium;PROD424;in;INDIA;Rijin
1-404736991;2012-02-29 18:07;Completed;Closed;E_10; B;G230;2nd;Medium;PROD424;in;INDIA;Rijin
1-406066421;2011-06-17 10:16;Accepted;In Progress;C_6; C;G250;3rd;Medium;PROD660;se;Sweden;Kenneth
1-406066421;2012-01-04 12:33;Completed;Closed;C_6; C;G250;3rd;Medium;PROD660;se;Sweden;Kenneth
1-407876996;2010-10-08 16:16;Accepted;In Progress;; G4;G51;2nd;Medium;PROD821;se;Sweden;Ing-Marie
1-407876996;2010-10-08 16:19;Queued;Awaiting Assignment;; G4;G51;2nd;Medium;PROD821;se;Sweden;Ing-Marie
1-408853759;2012-02-04 10:50;Accepted;In Progress;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-408853759;2012-02-04 10:53;Completed;Closed;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-413205820;2010-10-25 12:53;Accepted;In Progress;A2_4; A2;G113;2nd;Low;PROD546;us;USA;Fredrik
1-413205820;2011-10-05 22:07;Accepted;In Progress;A2_4; A2;G113;2nd;Low;PROD546;us;USA;Fredrik
1-413205820;2011-10-05 22:07;Queued;Awaiting Assignment;A2_4; A2;L23;3rd;Low;PROD546;us;USA;Fredrik
1-413205820;2011-10-06 19:05;Accepted;In Progress;A2_4; A2;G113;2nd;Low;PROD546;us;USA;Fredrik
1-413205820;2011-12-06 21:31;Accepted;Assigned;A2_4; A2;G113;2nd;Low;PROD546;us;USA;Joakim
1-413205820;2012-01-04 13:52;Completed;Closed;A2_4; A2;G113;2nd;Low;PROD546;us;USA;Joakim
1-413665008;2010-10-26 08:14;Accepted;In Progress;A2_2; A2;M1;2nd;High;PROD753;cn;Sweden;Tomas
1-413665008;2012-05-29 09:24;Completed;Closed;A2_2; A2;M1;2nd;High;PROD753;cn;Sweden;Tomas
1-415000020;2010-11-01 08:37;Accepted;In Progress;C_6; C;G141;3rd;Medium;PROD660;se;Sweden;Jonas
1-415000020;2010-11-01 11:00;Queued;Awaiting Assignment;E_7; C;G135;2nd;Medium;PROD660;se;Sweden;Anna
1-415000020;2011-09-08 10:19;Accepted;In Progress;E_7; C;G135;2nd;Medium;PROD660;se;Sweden;Anna
1-415000020;2011-09-08 10:19;Accepted;Wait;E_7; C;G135;2nd;Medium;PROD660;se;Sweden;Anna
1-415000020;2012-02-01 14:00;Accepted;In Progress;E_7; C;G135;2nd;Medium;PROD660;se;Sweden;Anna
1-415000020;2012-02-01 14:00;Completed;Closed;E_7; C;G135;2nd;Medium;PROD660;se;Sweden;Anna
1-415822336;2010-11-03 08:04;Accepted;In Progress;; G4;S30;2nd;Medium;PROD412;se;Sweden;Viktoria
1-415822336;2010-11-03 09:52;Accepted;Wait;; G4;S30;2nd;Medium;PROD412;se;Sweden;Viktoria
1-415822336;2010-11-24 13:41;Queued;Awaiting Assignment;; G4;S30;2nd;Medium;PROD412;se;Sweden;Viktoria
1-415822336;2010-11-24 14:08;Queued;Awaiting Assignment;; G4;S30;2nd;Medium;PROD412;se;Sweden;Viktoria
1-415822336;2010-11-25 14:37;Queued;Awaiting Assignment;; G4;S30;2nd;Medium;PROD412;se;Sweden;Viktoria
1-415822336;2010-11-25 14:38;Accepted;In Progress;; G4;S30;2nd;Medium;PROD412;se;Sweden;Viktoria
1-415822336;2010-11-25 14:40;Accepted;Wait;; G4;S30;2nd;Medium;PROD412;se;Sweden;Viktoria
1-417868043;2012-01-30 13:05;Accepted;In Progress;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-417868043;2012-01-30 13:06;Completed;Closed;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-418122119;2012-02-04 12:31;Accepted;In Progress;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-418122119;2012-02-04 12:32;Completed;Closed;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-419236954;2012-02-04 12:32;Accepted;In Progress;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-419236954;2012-02-04 12:36;Completed;Closed;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-422418092;2010-11-19 18:20;Accepted;In Progress;; G4;S30;2nd;Medium;PROD412;se;Sweden;Viktoria
1-422418092;2010-11-19 18:25;Queued;Awaiting Assignment;; G4;S30;2nd;Medium;PROD412;se;Sweden;Viktoria
1-422418092;2012-02-06 12:47;Accepted;Assigned;; G4;S30;2nd;Medium;PROD412;se;Sweden;David
1-422418092;2012-02-06 12:48;Accepted;Assigned;; G4;S30;2nd;Medium;PROD412;se;Sweden;David
1-422877530;2012-02-04 13:13;Accepted;In Progress;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-422877530;2012-02-04 13:20;Completed;Closed;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-424065923;2012-02-04 13:27;Accepted;In Progress;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-424065923;2012-02-04 13:41;Completed;Closed;; G3;G199;3rd;Medium;PROD98;us;POLAND;Ewa
1-427955007;2010-12-07 14:24;Accepted;In Progress;; G4;S33;2nd;Medium;PROD374;se;Sweden;Roland
