ST Function Division;Org Line;Involved ST;Support Line Number;Product;Owner First Name
A2_1;A2;D4;1st;PROD730;Andre
A2_1;A2;D8;1st;PROD730;Andre
A2_1;A2;D4;1st;PROD727;Andre
A2_1;C;D5;1st;PROD727;Andre
A2_1;A2;G42;3rd;PROD727;Andre
A2_1;A2;N17;2nd;PROD17;Andre
A2_1;C;D6;1st;PROD235;Andre
A2_1;C;D5;1st;PROD235;Andre
A2_1;A2;D4;1st;PROD789;Andre
A2_1;C;D2;1st;PROD789;Andre
A2_1;A2;D7;1st;PROD235;Andre
A2_1;A2;D4;1st;PROD236;Andre
A2_1;A2;G42;3rd;PROD235;Andre
A2_1;C;D2;1st;PROD235;Andre
A2_1;A2;G42;3rd;PROD236;Andre
A2_1;A2;D8;1st;PROD236;Andre
A2_1;B;D3;1st;PROD776;Andre
A2_1;C;D5;1st;PROD236;Andre
A2_1;A2;D4;1st;PROD327;Andre
A2_1;A2;D8;1st;PROD327;Andre
A2_1;A2;G42;3rd;PROD235;Andrew
A2_1;A2;D4;1st;PROD235;Andrew
A2_1;A2;L60;2nd;PROD805;Andrew
A2_1;A2;D8;1st;PROD423;Andrey
A2_1;A2;D4;1st;PROD158;Andrzej
A2_1;A2;D4;1st;PROD327;Andrzej
A2_1;A2;G26;2nd;PROD180;Anette
A2_1;C;D6;1st;PROD180;Anette
A2_1;A2;N15;2nd;PROD779;Anette
A2_1;A2;L67;3rd;PROD612;Angele
A2_1;C;D5;1st;PROD92;Anil
A2_1;A2;D4;1st;PROD158;Anil
A2_1;A2;D8;1st;PROD158;Anil
A2_1;A2;D4;1st;PROD236;Anil
A2_1;A2;D7;1st;PROD236;Anil
A2_1;C;D5;1st;PROD236;Anil
A2_1;A2;D4;1st;PROD312;Anil
A2_1;A2;G54;2nd;PROD312;Anil
A2_1;C;D5;1st;PROD312;Anil
A2_1;A2;D4;1st;PROD730;Anil
A2_1;A2;D4;1st;PROD320;Anil
A2_1;C;D6;1st;PROD320;Anil
A2_1;A2;D4;1st;PROD775;Anil
A2_1;A2;D4;1st;PROD171;Anil
A2_1;A2;D4;1st;PROD789;Anil
A2_1;A2;D8;1st;PROD789;Anil
A2_1;A2;D4;1st;PROD776;Anil
A2_1;A2;N14;2nd;PROD776;Anil
A2_1;A2;G54;2nd;PROD776;Anil
A2_1;C;D5;1st;PROD789;Anil
A2_1;C;D5;1st;PROD158;Anil
A2_1;B;D1;1st;PROD312;Anil
A2_1;A2;D4;1st;PROD328;Anil
A2_1;C;D6;1st;PROD328;Anil
A2_1;A2;D4;1st;PROD791;Anil
A2_1;A2;D8;1st;PROD791;Anil
A2_1;A2;D4;1st;PROD616;Anil
A2_1;C;D2;1st;PROD616;Anil
A2_1;A2;D7;1st;PROD789;Anil
A2_1;A2;D4;1st;PROD697;Anil
A2_1;A2;D4;1st;PROD436;Anil
A2_1;C;D5;1st;PROD697;Anil
A2_1;A2;D4;1st;PROD318;Anil
A2_1;A2;M22;2nd;PROD318;Anil
A2_1;A2;M22;2nd;PROD697;Anil
A2_1;C;D5;1st;PROD791;Anil
A2_1;A2;D4;1st;PROD159;Anil
A2_1;A2;D7;1st;PROD158;Anil
A2_1;A2;D4;1st;PROD92;Anil
A2_1;A2;G42;3rd;PROD236;Anil
A2_1;A2;D4;1st;PROD327;Anil
A2_1;A2;D4;1st;PROD235;Anil
A2_1;A2;D4;1st;PROD38;Anil
A2_1;A2;D8;1st;PROD38;Anil
A2_1;A2;G42;3rd;PROD235;Anil
A2_1;C;D2;1st;PROD789;Anil
A2_1;A2;D8;1st;PROD92;Anil
A2_1;A2;G42;3rd;PROD775;Anil
A2_1;A2;G42;3rd;PROD235;Anna
A2_1;A2;G42;3rd;PROD236;Anna
A2_1;B;D1;1st;PROD790;Anna
A2_1;A2;D4;1st;PROD235;Anna
A2_1;A2;G42;3rd;PROD730;Anna
A2_1;A2;G42;3rd;PROD727;Anna
A2_1;A2;D4;1st;PROD236;Anna
A2_1;A2;G42;3rd;PROD320;Anna
A2_1;A2;D4;1st;PROD320;Anna
A2_1;A2;D8;1st;PROD790;Anna
A2_1;A2;D8;1st;PROD258;Anna
A2_1;A2;D8;1st;PROD623;Anna
A2_1;A2;D7;1st;PROD697;Anna
A2_1;A2;M22;2nd;PROD697;Anna
A2_1;A2;D7;1st;PROD779;Anna
A2_1;C;D2;1st;PROD542;Annick
A2_1;A2;D4;1st;PROD789;Anson
A2_1;A2;D4;1st;PROD719;Apryl
A2_1;A2;D8;1st;PROD424;Archil
A2_1;A2;D8;1st;PROD423;Archil
A2_1;A2;D8;1st;PROD2;Archil
A2_1;A2;D8;1st;PROD454;Archil
A2_1;A2;D8;1st;PROD494;Archil
A2_1;A2;D8;1st;PROD312;Archil
A2_1;A2;D8;1st;PROD215;Archil
A2_1;A2;D8;1st;PROD38;Archil
A2_1;A2;D8;1st;PROD586;Archil
A2_1;A2;D8;1st;PROD776;Archil
A2_1;A2;N14;2nd;PROD776;Archil
A2_1;A2;D8;1st;PROD790;Archil
A2_1;A2;D4;1st;PROD328;Armin
A2_1;C;D5;1st;PROD328;Armin
A2_1;A2;D4;1st;PROD235;Armin
A2_1;A2;D4;1st;PROD236;Armin
A2_1;A2;D4;1st;PROD327;Armin
A2_1;C;D5;1st;PROD424;Asmita
A2_1;B;D1;1st;PROD328;Bart
A2_1;A2;D4;1st;PROD328;Bart
A2_1;A2;D4;1st;PROD730;Bart
A2_1;A2;D4;1st;PROD235;Bart
A2_1;A2;D4;1st;PROD236;Bart
A2_1;A2;D4;1st;PROD327;Bart
A2_1;A2;D4;1st;PROD697;Bartosz
A2_1;A2;N14;2nd;PROD715;Bartosz
A2_1;A2;D4;1st;PROD318;Bartosz
A2_1;A2;N7;2nd;PROD747;Bengt
A2_1;B;D1;1st;PROD510;Benoit
A2_1;A2;D7;1st;PROD789;Berit
A2_1;A2;D7;1st;PROD235;Berit
A2_1;A2;D7;1st;PROD697;Berit
A2_1;A2;M22;2nd;PROD697;Berit
A2_1;C;D5;1st;PROD706;Bert
A2_1;C;D5;1st;PROD328;Brecht
A2_1;C;D5;1st;PROD542;Brecht
A2_1;C;D5;1st;PROD776;Brecht
A2_1;C;D5;1st;PROD236;Brecht
A2_1;A2;D4;1st;PROD236;Brecht
A2_1;C;D5;1st;PROD736;Brecht
A2_1;C;D5;1st;PROD235;Brecht
A2_1;C;D5;1st;PROD312;Brecht
A2_1;C;D5;1st;PROD321;Brecht
A2_1;C;D5;1st;PROD727;Brecht
A2_1;A2;D4;1st;PROD727;Brecht
A2_1;C;D5;1st;PROD799;Brecht
A2_1;A2;D4;1st;PROD799;Brecht
A2_1;A2;M22;2nd;PROD799;Brecht
A2_1;C;D5;1st;PROD424;Brecht
A2_1;A2;D4;1st;PROD235;Brecht
A2_1;C;D5;1st;PROD791;Brecht
A2_1;A2;D4;1st;PROD791;Brecht
A2_1;A2;D4;1st;PROD776;Brecht
A2_1;C;D5;1st;PROD789;Brecht
A2_1;C;D5;1st;PROD158;Brecht
A2_1;A2;D4;1st;PROD158;Brecht
A2_1;C;D5;1st;PROD697;Brecht
A2_1;A2;D4;1st;PROD697;Brecht
A2_1;C;D5;1st;PROD793;Brecht
A2_1;A2;D4;1st;PROD789;Brecht
A2_1;C;D5;1st;PROD790;Brecht
A2_1;C;D5;1st;PROD215;Brecht
A2_1;C;D5;1st;PROD318;Brecht
A2_1;C;D5;1st;PROD38;Brecht
A2_1;C;D5;1st;PROD329;Brecht
A2_1;A2;D4;1st;PROD329;Brecht
A2_1;C;D5;1st;PROD494;Brecht
A2_1;C;D5;1st;PROD327;Brecht
A2_1;C;D5;1st;PROD258;Brecht
A2_1;A2;N14;2nd;PROD776;Brecht
A2_1;C;D5;1st;PROD698;Brecht
A2_1;A2;M28;2nd;PROD730;Brita
A2_1;A2;J2;2nd;PROD743;Britt
A2_1;A2;L6;2nd;PROD510;Bruce
A2_1;B;D1;1st;PROD510;Bruce
A2_1;A2;L6;2nd;PROD509;Bruce
A2_1;A2;D4;1st;PROD719;Bryan
A2_1;A2;D4;1st;PROD566;Bryan
A2_1;A2;D4;1st;PROD789;Carmelo
A2_1;B;D3;1st;PROD81;Celio
A2_1;B;D3;1st;PROD235;Celio
A2_1;A2;G42;3rd;PROD235;Charan
A2_1;C;D2;1st;PROD542;Charlotte
A2_1;A2;M22;2nd;PROD697;Charlotte
A2_1;A2;N17;2nd;PROD17;Charumathi
A2_1;C;D5;1st;PROD328;Christian
A2_1;A2;L31;2nd;PROD357;Christina
A2_1;A2;M19;2nd;PROD776;Christofer
A2_1;A2;D4;1st;PROD776;Christofer
A2_1;A2;M19;2nd;PROD700;Christofer
A2_1;A2;M19;2nd;PROD834;Christofer
A2_1;A2;D7;1st;PROD312;Christopher
A2_1;A2;D7;1st;PROD776;Christopher
A2_1;A2;D4;1st;PROD158;Christopher
A2_1;A2;D7;1st;PROD158;Christopher
A2_1;A2;D7;1st;PROD236;Christopher
A2_1;A2;D7;1st;PROD724;Christopher
A2_1;A2;D7;1st;PROD789;Christopher
A2_1;A2;D7;1st;PROD38;Christopher
A2_1;A2;D4;1st;PROD159;Christopher
A2_1;A2;D7;1st;PROD791;Christopher
A2_1;A2;D4;1st;PROD791;Christopher
A2_1;A2;S1;2nd;PROD142;Clarice
A2_1;A2;S1;2nd;PROD141;Clarice
A2_1;C;D5;1st;PROD328;Claudia
A2_1;C;D5;1st;PROD236;Claudia
A2_1;A2;L6;2nd;PROD509;Conny
A2_1;A2;D4;1st;PROD789;Cristel
A2_1;B;D10;1st;PROD79;Cristian
A2_1;B;D10;1st;PROD236;Cristian
A2_1;B;D10;1st;PROD271;Cristian
A2_1;B;D10;1st;PROD267;Cristian
A2_1;B;D10;1st;PROD38;Cristian
A2_1;B;D10;1st;PROD404;Cristian
A2_1;B;D10;1st;PROD424;Cristian
A2_1;B;D10;1st;PROD321;Cristian
A2_1;B;D3;1st;PROD81;Cristiane
A2_1;B;D3;1st;PROD235;Cristiane
A2_1;B;D3;1st;PROD96;Cristiane
A2_1;B;D3;1st;PROD126;Cristiane
A2_1;B;D3;1st;PROD53;Cristiane
A2_1;A2;D4;1st;PROD92;Daniel
A2_1;A2;L6;2nd;PROD321;Daniela
A2_1;C;D5;1st;PROD542;Danny
A2_1;A2;D8;1st;PROD542;Danny
A2_1;C;D2;1st;PROD542;Danny
A2_1;B;D1;1st;PROD542;Danny
A2_1;A2;D7;1st;PROD542;Danny
A2_1;C;D2;1st;PROD542;David
A2_1;C;D2;1st;PROD424;David
A2_1;C;D2;1st;PROD92;David
A2_1;C;D2;1st;PROD494;David
A2_1;C;D2;1st;PROD611;David
A2_1;C;D2;1st;PROD171;David
A2_1;A2;W16;3rd;PROD171;David
A2_1;C;D2;1st;PROD776;David
A2_1;A2;N14;2nd;PROD776;David
A2_1;C;D2;1st;PROD698;David
A2_1;C;D2;1st;PROD791;David
A2_1;A2;D4;1st;PROD791;David
A2_1;A2;D4;1st;PROD92;David
A2_1;C;D2;1st;PROD328;David
A2_1;C;D2;1st;PROD236;David
A2_1;C;D2;1st;PROD235;David
A2_1;C;D2;1st;PROD321;David
A2_1;C;D2;1st;PROD215;David
A2_1;A2;D4;1st;PROD236;David
A2_1;A2;G42;3rd;PROD236;David
A2_1;C;D2;1st;PROD747;David
A2_1;C;D2;1st;PROD38;David
A2_1;C;D2;1st;PROD789;David
A2_1;C;D2;1st;PROD436;David
A2_1;C;D2;1st;PROD312;David
A2_1;A2;D4;1st;PROD789;Dawid
A2_1;A2;D4;1st;PROD318;Dawid
A2_1;A2;D4;1st;PROD697;Dawid
A2_1;A2;D4;1st;PROD791;Dawid
A2_1;B;D1;1st;PROD350;Dawid
A2_1;A2;N25;2nd;PROD173;Debra
A2_1;A2;L64;3rd;PROD612;Denny
A2_1;B;D3;1st;PROD38;Diego
A2_1;B;D3;1st;PROD776;Diego
A2_1;A2;N14;2nd;PROD776;Diego
A2_1;B;D3;1st;PROD698;Diego
A2_1;B;D3;1st;PROD81;Diego
A2_1;B;D3;1st;PROD790;Diego
A2_1;B;D3;1st;PROD802;Diego
A2_1;B;D3;1st;PROD235;Diego
A2_1;B;D3;1st;PROD328;Diego
A2_1;B;D3;1st;PROD787;Diego
A2_1;B;D3;1st;PROD96;Diego
A2_1;B;D3;1st;PROD159;Diego
A2_1;B;D3;1st;PROD405;Diego
A2_1;B;D3;1st;PROD126;Diego
A2_1;B;D3;1st;PROD730;Diego
A2_1;B;D3;1st;PROD13;Diego
A2_1;B;D3;1st;PROD805;Diego
A2_1;B;D3;1st;PROD53;Diego
A2_1;A2;W16;3rd;PROD171;Dinakar
A2_1;A2;D8;1st;PROD542;Earl
A2_1;C;D5;1st;PROD542;Earl
A2_1;B;D3;1st;PROD13;Edison
A2_1;A2;S1;2nd;PROD141;Edna
A2_1;B;D3;1st;PROD776;Eduardo
A2_1;C;D2;1st;PROD542;Ellen
A2_1;C;D2;1st;PROD267;Ellen
A2_1;C;D2;1st;PROD92;Ellen
A2_1;C;D2;1st;PROD424;Ellen
A2_1;C;D2;1st;PROD168;Ellen
A2_1;C;D2;1st;PROD756;Ellen
A2_1;C;D2;1st;PROD235;Ellen
A2_1;C;D2;1st;PROD318;Ellen
A2_1;A2;D4;1st;PROD318;Ellen
A2_1;C;D2;1st;PROD790;Ellen
A2_1;C;D2;1st;PROD789;Ellen
A2_1;A2;D4;1st;PROD789;Ellen
A2_1;C;D2;1st;PROD38;Ellen
A2_1;C;D2;1st;PROD236;Ellen
A2_1;A2;D4;1st;PROD236;Ellen
A2_1;C;D2;1st;PROD327;Ellen
A2_1;C;D2;1st;PROD794;Ellen
A2_1;C;D2;1st;PROD312;Ellen
A2_1;C;D2;1st;PROD730;Ellen
A2_1;A2;D4;1st;PROD730;Ellen
A2_1;C;D2;1st;PROD776;Ellen
A2_1;A2;N14;2nd;PROD776;Ellen
A2_1;A2;D4;1st;PROD312;Ellen
A2_1;A2;D7;1st;PROD236;Emil
A2_1;A2;D4;1st;PROD236;Emil
A2_1;A2;D7;1st;PROD776;Emil
A2_1;A2;N14;2nd;PROD776;Emil
A2_1;A2;D7;1st;PROD542;Emil
A2_1;A2;D4;1st;PROD542;Emil
A2_1;A2;D7;1st;PROD171;Emil
A2_1;A2;W15;2nd;PROD171;Emil
A2_1;A2;D4;1st;PROD171;Emil
A2_1;A2;D7;1st;PROD38;Emil
A2_1;A2;D7;1st;PROD834;Emil
A2_1;A2;D7;1st;PROD235;Emil
A2_1;A2;D4;1st;PROD235;Emil
A2_1;A2;D7;1st;PROD159;Emil
A2_1;A2;D4;1st;PROD159;Emil
A2_1;A2;D7;1st;PROD791;Emil
A2_1;A2;D4;1st;PROD791;Emil
A2_1;A2;D7;1st;PROD318;Emil
A2_1;A2;D4;1st;PROD318;Emil
A2_1;A2;D7;1st;PROD223;Emil
A2_1;A2;D7;1st;PROD709;Emil
A2_1;A2;D4;1st;PROD709;Emil
A2_1;A2;D7;1st;PROD789;Emil
A2_1;A2;D4;1st;PROD789;Emil
A2_1;A2;D7;1st;PROD158;Emil
A2_1;A2;D4;1st;PROD158;Emil
A2_1;A2;L64;3rd;PROD612;Eric
A2_1;A2;N29;2nd;PROD700;Eric
A2_1;C;D2;1st;PROD787;Eric
A2_1;C;D2;1st;PROD756;Eric
A2_1;C;D2;1st;PROD236;Eric
A2_1;C;D2;1st;PROD171;Eric
A2_1;C;D2;1st;PROD327;Eric
A2_1;B;D3;1st;PROD81;Erica
A2_1;B;D3;1st;PROD126;Evandro
A2_1;B;D3;1st;PROD790;Evandro
A2_1;B;D3;1st;PROD235;Evandro
A2_1;B;D3;1st;PROD561;Evandro
A2_1;B;D3;1st;PROD81;Evandro
A2_1;B;D3;1st;PROD560;Evandro
A2_1;B;D3;1st;PROD53;Evandro
A2_1;B;D3;1st;PROD96;Evandro
A2_1;B;D3;1st;PROD405;Evandro
A2_1;B;D3;1st;PROD802;Evandro
A2_1;B;D3;1st;PROD805;Evandro
A2_1;C;D2;1st;PROD706;Evy
A2_1;C;D2;1st;PROD542;Evy
A2_1;C;D2;1st;PROD423;Evy
A2_1;C;D2;1st;PROD92;Evy
A2_1;A2;D4;1st;PROD92;Evy
A2_1;C;D2;1st;PROD436;Evy
A2_1;C;D2;1st;PROD235;Evy
A2_1;C;D2;1st;PROD424;Evy
A2_1;C;D2;1st;PROD789;Evy
A2_1;A2;D4;1st;PROD789;Evy
A2_1;C;D2;1st;PROD776;Evy
A2_1;A2;N14;2nd;PROD776;Evy
A2_1;C;D2;1st;PROD698;Evy
A2_1;C;D2;1st;PROD609;Evy
A2_1;C;D2;1st;PROD736;Evy
A2_1;C;D2;1st;PROD236;Evy
A2_1;A2;D4;1st;PROD236;Evy
A2_1;C;D2;1st;PROD180;Evy
A2_1;A2;N15;2nd;PROD180;Evy
A2_1;A2;G26;2nd;PROD180;Evy
A2_1;C;D2;1st;PROD329;Evy
A2_1;C;D6;1st;PROD329;Evy
A2_1;C;D2;1st;PROD494;Evy
A2_1;C;D2;1st;PROD312;Evy
A2_1;A2;D4;1st;PROD312;Evy
A2_1;C;D2;1st;PROD790;Evy
A2_1;C;D2;1st;PROD38;Evy
A2_1;C;D2;1st;PROD794;Evy
A2_1;C;D2;1st;PROD730;Evy
A2_1;A2;G378;2nd;PROD558;Fausto
A2_1;A2;L64;3rd;PROD612;Florent
A2_1;A2;M19;2nd;PROD700;Frank
A2_1;C;D2;1st;PROD38;Freddy Martin
A2_1;C;D2;1st;PROD789;Freddy Martin
A2_1;A2;N19;2nd;PROD790;Fredrik
A2_1;A2;N19;2nd;PROD38;Fredrik
A2_1;A2;W16;3rd;PROD756;Gaurav
A2_1;A2;W16;3rd;PROD509;Gaurav
A2_1;B;D10;1st;PROD271;George
A2_1;A2;S1;2nd;PROD142;Gilmar
A2_1;A2;S1;2nd;PROD141;Gilmar
A2_1;A2;D7;1st;PROD775;Gitt
A2_1;A2;M28;2nd;PROD155;Gitt
A2_1;B;D3;1st;PROD38;Gizele
A2_1;C;D6;1st;PROD308;Göran
A2_1;C;D5;1st;PROD424;Gregor
A2_1;A2;W16;3rd;PROD171;Grzegorz
A2_1;A2;D7;1st;PROD171;Grzegorz
A2_1;A2;D4;1st;PROD791;Grzegorz
A2_1;A2;D4;1st;PROD697;Grzegorz
A2_1;A2;D4;1st;PROD318;Grzegorz
A2_1;A2;M22;2nd;PROD697;Grzegorz
A2_1;A2;M22;2nd;PROD318;Grzegorz
A2_1;A2;D7;1st;PROD38;Gunnar
A2_1;A2;D8;1st;PROD38;Gunnar
A2_1;B;D3;1st;PROD560;Gustavo
A2_1;B;D3;1st;PROD698;Gustavo
A2_1;B;D3;1st;PROD802;Gustavo
A2_1;B;D3;1st;PROD790;Gustavo
A2_1;B;D3;1st;PROD235;Gustavo
A2_1;B;D3;1st;PROD126;Gustavo
A2_1;B;D3;1st;PROD53;Gustavo
A2_1;B;D3;1st;PROD561;Gustavo
A2_1;B;D3;1st;PROD81;Gustavo
A2_1;B;D3;1st;PROD328;Gustavo
A2_1;B;D3;1st;PROD776;Gustavo
A2_1;B;D3;1st;PROD799;Gustavo
A2_1;B;D3;1st;PROD96;Gustavo
A2_1;A2;G42;3rd;PROD235;Hanna
A2_1;A2;D4;1st;PROD235;Hanna
A2_1;A2;G42;3rd;PROD236;Hanna
A2_1;A2;D4;1st;PROD236;Hanna
A2_1;A2;G42;3rd;PROD158;Hanna
A2_1;A2;D4;1st;PROD158;Hanna
A2_1;A2;G42;3rd;PROD730;Hanna
A2_1;A2;D4;1st;PROD730;Hanna
A2_1;A2;G42;3rd;PROD727;Hanna
A2_1;A2;D4;1st;PROD727;Hanna
A2_1;A2;G42;3rd;PROD327;Hanna
A2_1;A2;D4;1st;PROD327;Hanna
A2_1;A2;G42;3rd;PROD775;Hanna
A2_1;A2;D4;1st;PROD775;Hanna
A2_1;A2;D7;1st;PROD775;Hanna
A2_1;A2;D7;1st;PROD236;Hans-Eric
A2_1;A2;D4;1st;PROD700;Harshavardhan
A2_1;A2;L20;2nd;PROD558;Harshavardhan
A2_1;A2;J2;2nd;PROD743;Harshavardhan
A2_1;C;D5;1st;PROD706;Henk
A2_1;C;D5;1st;PROD542;Henk
A2_1;C;D5;1st;PROD565;Henk
A2_1;C;D5;1st;PROD236;Henk
A2_1;A2;D4;1st;PROD236;Henk
A2_1;C;D5;1st;PROD424;Henk
A2_1;C;D5;1st;PROD494;Henk
A2_1;C;D5;1st;PROD215;Henk
A2_1;C;D5;1st;PROD814;Henk
A2_1;C;D5;1st;PROD794;Henk
A2_1;C;D5;1st;PROD698;Henk
A2_1;C;D5;1st;PROD789;Henk
A2_1;C;D5;1st;PROD328;Henk
A2_1;C;D5;1st;PROD379;Henk
A2_1;A2;L28;2nd;PROD577;Henrik
A2_1;C;D2;1st;PROD790;Herve
A2_1;C;D2;1st;PROD747;Herve
A2_1;A2;L64;3rd;PROD612;Houssam
A2_1;C;D2;1st;PROD637;Ies
A2_1;C;D2;1st;PROD706;Ilona
A2_1;C;D2;1st;PROD542;Ilona
A2_1;A2;S1;2nd;PROD140;Ilton
A2_1;A2;S1;2nd;PROD142;Ilton
A2_1;A2;N17;2nd;PROD17;Imran
A2_1;A2;D8;1st;PROD38;Inna
A2_1;A2;D4;1st;PROD328;Isaide
A2_1;C;D5;1st;PROD328;Isaide
A2_1;A2;D4;1st;PROD158;Isaide
A2_1;A2;D8;1st;PROD158;Isaide
A2_1;A2;D4;1st;PROD236;Isaide
A2_1;C;D5;1st;PROD236;Isaide
A2_1;A2;D4;1st;PROD736;Isaide
A2_1;C;D5;1st;PROD736;Isaide
A2_1;C;D6;1st;PROD158;Isaide
A2_1;A2;D4;1st;PROD235;Isaide
A2_1;A2;D4;1st;PROD92;Isaide
A2_1;C;D2;1st;PROD92;Isaide
A2_1;A2;D4;1st;PROD730;Isaide
A2_1;A2;D4;1st;PROD727;Isaide
A2_1;A2;M22;2nd;PROD727;Isaide
A2_1;A2;D4;1st;PROD789;Isaide
A2_1;C;D6;1st;PROD789;Isaide
A2_1;C;D6;1st;PROD235;Isaide
A2_1;A2;D4;1st;PROD542;Isaide
A2_1;A2;D7;1st;PROD235;Isaide
A2_1;A2;D4;1st;PROD791;Isaide
A2_1;A2;D4;1st;PROD776;Isaide
A2_1;A2;N14;2nd;PROD776;Isaide
A2_1;C;D5;1st;PROD776;Isaide
A2_1;A2;D7;1st;PROD789;Isaide
A2_1;A2;D4;1st;PROD697;Isaide
A2_1;C;D5;1st;PROD697;Isaide
A2_1;A2;M22;2nd;PROD697;Isaide
A2_1;A2;D4;1st;PROD318;Isaide
A2_1;C;D6;1st;PROD318;Isaide
A2_1;C;D6;1st;PROD236;Isaide
A2_1;A2;D8;1st;PROD92;Isaide
A2_1;A2;D7;1st;PROD158;Isaide
A2_1;C;D2;1st;PROD318;Isaide
A2_1;A2;D4;1st;PROD327;Isaide
A2_1;C;D2;1st;PROD327;Isaide
A2_1;A2;G42;3rd;PROD327;Isaide
A2_1;C;D2;1st;PROD789;Isaide
A2_1;C;D5;1st;PROD789;Isaide
A2_1;A2;D4;1st;PROD159;Isaide
A2_1;B;D3;1st;PROD159;Isaide
A2_1;C;D2;1st;PROD236;Isaide
A2_1;A2;D8;1st;PROD236;Isaide
A2_1;B;D3;1st;PROD730;Isaide
A2_1;A2;M28;2nd;PROD730;Isaide
A2_1;C;D2;1st;PROD791;Isaide
A2_1;C;D2;1st;PROD730;Isaide
A2_1;A2;D4;1st;PROD312;Isaide
A2_1;C;D2;1st;PROD312;Isaide
A2_1;C;D6;1st;PROD542;Iván
A2_1;A2;D7;1st;PROD38;Izabela
A2_1;A2;L20;2nd;PROD558;Jacek
A2_1;A2;G378;2nd;PROD558;Jacek
A2_1;A2;D4;1st;PROD789;Jakub
A2_1;A2;D4;1st;PROD791;Jakub
A2_1;A2;D4;1st;PROD697;Jakub
A2_1;A2;D4;1st;PROD318;Jakub
A2_1;A2;N25;2nd;PROD173;James
A2_1;A2;D4;1st;PROD158;James
A2_1;C;D6;1st;PROD158;James
A2_1;A2;N3;2nd;PROD253;James
A2_1;A2;N3;2nd;PROD267;James
A2_1;C;D2;1st;PROD158;James
A2_1;A2;D4;1st;PROD616;James
A2_1;A2;N3;2nd;PROD698;James
A2_1;A2;D4;1st;PROD159;James
A2_1;A2;N2;2nd;PROD172;James
A2_1;A2;L31;2nd;PROD172;James
A2_1;C;D5;1st;PROD542;Jan
