Problem Number;Problem Latest Impact;Change Date;Problem Status;Problem Sub Status;Org Line;ST Function Division;Owner ST;Support Line Number;Product;Country;Action Owner Country;Action Owner First Name
1-366584206;Medium;2012-01-09 11:25:51;Completed;Closed; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-366698569;High;2010-04-13 13:37:07;Accepted;In Progress; G4;;S29;2nd;PROD368;se;Sweden;Jerker
1-366698569;High;2010-04-19 15:59:00;Accepted;In Progress; G4;;S29;2nd;PROD368;se;Sweden;Jerker
1-366726662;Medium;2010-04-13 13:50:15;Accepted;In Progress; G4;;S29;2nd;PROD368;se;Sweden;Jerker
1-366726662;Medium;2010-04-19 15:59:58;Accepted;In Progress; G4;;S29;2nd;PROD368;se;Sweden;Jerker
1-366923538;Medium;2012-01-04 16:55:26;Accepted;In Progress; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-366923538;Medium;2012-01-30 14:05:58;Completed;Closed; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-367921041;Medium;2011-08-24 20:27:17;Queued;Awaiting Assignment; B;E_10;G230;2nd;PROD262;in;INDIA;Srinivasan
1-367921041;Medium;2011-08-29 03:54:38;Accepted;In Progress; B;E_10;G230;2nd;PROD262;in;INDIA;Aneesh V
1-367921041;Medium;2011-08-29 03:55:29;Accepted;Assigned; B;E_10;G230;2nd;PROD262;in;INDIA;Rijin
1-367921041;Medium;2011-08-29 13:48:47;Accepted;In Progress; B;E_10;G230;2nd;PROD262;in;INDIA;Rijin
1-367921041;Medium;2011-11-11 15:57:44;Accepted;Assigned; B;E_10;G230;2nd;PROD262;in;INDIA;Aneesh V
1-367921041;Medium;2011-11-21 08:27:41;Accepted;Wait; B;E_10;G230;2nd;PROD262;in;INDIA;Aneesh V
1-367921041;Medium;2012-02-29 17:54:59;Accepted;In Progress; B;E_10;G230;2nd;PROD262;in;INDIA;Aneesh V
1-367921041;Medium;2012-02-29 17:56:23;Completed;Closed; B;E_10;G230;2nd;PROD262;in;INDIA;Aneesh V
1-370436092;Major;2010-04-29 08:23:20;Accepted;In Progress; C;V3_3;V42;2nd;PROD793;fr;France;Celine
1-370436092;Major;2010-04-29 08:23:56;Queued;Awaiting Assignment; C;V3_3;V42;2nd;PROD793;fr;France;Celine
1-370436092;Major;2010-05-04 13:28:29;Accepted;In Progress; C;V3_3;V42;2nd;PROD793;fr;France;Celine
1-370436092;Major;2010-11-09 18:47:12;Accepted;In Progress; C;V3_3;V42;2nd;PROD793;fr;France;Celine
1-372029512;Low;2010-10-19 13:43:59;Accepted;Assigned; C;C_6;G250;3rd;PROD660;se;Sweden;Tomas
1-372029512;Low;2011-10-20 13:21:34;Accepted;Wait; C;C_6;G250;3rd;PROD660;se;Sweden;Tomas
1-372029512;Low;2012-01-30 13:18:55;Completed;Closed; C;C_6;G250;3rd;PROD660;se;Sweden;Tomas
1-372978779;Medium;2012-01-30 13:58:10;Accepted;In Progress; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-372978779;Medium;2012-01-30 14:38:43;Completed;Closed; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-373110819;Medium;2012-02-03 07:48:56;Accepted;In Progress; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-373110819;Medium;2012-02-03 07:50:31;Completed;Closed; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-373268674;Medium;2012-02-03 07:51:00;Accepted;In Progress; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-373268674;Medium;2012-02-03 07:52:14;Completed;Closed; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-373413519;Medium;2012-01-30 12:59:22;Accepted;In Progress; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-373413519;Medium;2012-01-30 13:00:09;Completed;Closed; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-373413971;Medium;2012-02-03 07:54:21;Accepted;In Progress; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-373413971;Medium;2012-02-04 08:48:35;Completed;Closed; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-374832944;Low;2011-11-01 17:30:00;Accepted;Assigned; C;E_7;G162;2nd;PROD660;in;Sweden;Anna
1-374832944;Low;2012-02-01 13:57:19;Accepted;In Progress; C;E_7;G162;2nd;PROD660;in;Sweden;Anna
1-374832944;Low;2012-02-01 13:58:08;Completed;Closed; C;E_7;G162;2nd;PROD660;in;Sweden;Anna
1-375644051;Medium;2010-05-25 11:42:48;Accepted;In Progress; C;E_10;G276;2nd;PROD698;se;0;Sumesh
1-375644051;Medium;2010-05-25 11:49:29;Accepted;Wait; C;E_10;G276;2nd;PROD698;se;0;Sumesh
1-375644051;Medium;2011-06-29 15:13:19;Accepted;In Progress; C;E_10;G276;2nd;PROD698;se;0;Sumesh
1-375644051;Medium;2011-11-23 12:47:29;Queued;Awaiting Assignment; C;E_10;G276;2nd;PROD698;se;Sweden;Prasad
1-378050311;High;2010-06-22 10:37:32;Accepted;In Progress; C;E_7;G153;2nd;PROD153;se;Sweden;Peter
1-378050311;High;2010-07-09 10:03:29;Accepted;In Progress; C;E_7;G134;2nd;PROD153;se;Sweden;Peter
1-378050311;High;2010-07-09 10:05:10;Accepted;In Progress; C;E_7;G134;2nd;PROD153;se;Sweden;Peter
1-378050311;High;2010-11-08 13:35:26;Accepted;In Progress; C;E_7;G134;2nd;PROD153;se;Sweden;Peter
1-378050311;High;2011-11-30 13:59:57;Queued;Awaiting Assignment; F;;S1;2nd;PROD153;se;Sweden;Craig
1-378050311;High;2012-02-27 08:12:23;Accepted;In Progress; F;;S1;2nd;PROD153;se;Sweden;Stefan
1-378050311;High;2012-02-27 08:13:44;Completed;Closed; F;;S1;2nd;PROD153;se;Sweden;Stefan
1-378744625;Medium;2011-11-01 17:29:39;Accepted;Assigned; C;E_7;G162;2nd;PROD660;in;Sweden;Anna
1-378744625;Medium;2012-02-01 13:59:45;Accepted;In Progress; C;E_7;G162;2nd;PROD660;in;Sweden;Anna
1-378744625;Medium;2012-02-01 13:59:47;Completed;Closed; C;E_7;G162;2nd;PROD660;in;Sweden;Anna
1-380392616;Medium;2012-02-04 09:20:39;Accepted;In Progress; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-380392616;Medium;2012-02-04 10:19:57;Completed;Closed; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-380527184;Medium;2012-02-04 10:20:08;Accepted;In Progress; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-380527184;Medium;2012-02-04 10:31:43;Completed;Closed; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-380632889;High;2010-06-16 15:09:45;Accepted;In Progress; G4;;S29;2nd;PROD551;se;Sweden;David
1-380632889;High;2010-08-16 11:24:39;Queued;Awaiting Assignment; G4;;S29;2nd;PROD551;se;Sweden;David
1-380654568;Medium;2011-12-30 11:09:26;Accepted;In Progress; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-380654568;Medium;2012-01-30 12:31:24;Completed;Closed; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-382209384;Medium;2010-06-23 13:13:51;Accepted;In Progress; A2;A2_2;M1;2nd;PROD681;se;Sweden;Tomas
1-382209384;Medium;2011-09-03 06:46:51;Accepted;In Progress; A2;A2_2;M1;2nd;PROD681;se;Sweden;Tomas
1-382209384;Medium;2011-11-14 16:10:10;Accepted;Assigned; A2;A2_2;G167;2nd;PROD681;se;Sweden;Niklas
1-382442048;Medium;2012-02-04 10:27:58;Accepted;In Progress; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-382442048;Medium;2012-02-04 10:30:03;Completed;Closed; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-384097130;Medium;2011-03-10 16:02:06;Accepted;Assigned; C;C_6;G141;3rd;PROD660;se;Sweden;Jonas
1-384097130;Medium;2011-03-29 09:44:20;Accepted;In Progress; C;C_6;G141;3rd;PROD660;se;Sweden;Jonas
1-384097130;Medium;2011-04-13 14:23:07;Accepted;Wait; C;C_6;G141;3rd;PROD660;se;Sweden;Jonas
1-384757914;Medium;2012-02-04 10:31:58;Accepted;In Progress; A2;A2_2;G21;2nd;PROD98;us;POLAND;Ewa
1-384757914;Medium;2012-02-04 10:37:38;Completed;Closed; A2;A2_2;G21;2nd;PROD98;us;POLAND;Ewa
1-385201933;High;2010-07-08 03:50:41;Accepted;In Progress; G4;;S33;2nd;PROD374;se;Sweden;Joakim
1-385201933;High;2010-07-08 04:04:25;Queued;Awaiting Assignment; G4;;S33;2nd;PROD374;se;Sweden;Joakim
1-385201933;High;2010-09-07 12:57:19;Accepted;Assigned; G4;;S33;2nd;PROD374;se;Sweden;Per
1-385201933;High;2010-09-23 09:26:35;Accepted;In Progress; G4;;S33;2nd;PROD374;se;Sweden;Per
1-385201933;High;2010-12-05 13:27:07;Accepted;Wait; G4;;S33;2nd;PROD374;se;Sweden;Per
1-385201933;High;2012-01-26 11:39:55;Completed;Closed; G4;;S33;2nd;PROD374;se;Sweden;Per
1-385311756;Medium;2012-02-04 10:38:18;Accepted;In Progress; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-385311756;Medium;2012-02-04 10:40:10;Completed;Closed; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-388644366;Medium;2012-01-30 15:48:15;Accepted;In Progress; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-388644366;Medium;2012-01-30 15:48:48;Completed;Closed; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-390250582;Low;2010-08-09 16:21:55;Accepted;In Progress; C;C_6;N54;3rd;PROD424;se;USA;Stephen
1-390250582;Low;2010-08-12 14:09:54;Accepted;Wait; C;C_6;N54;3rd;PROD424;se;USA;Stephen
1-390250582;Low;2010-08-18 10:28:48;Accepted;Assigned; C;C_6;G261;3rd;PROD424;se;USA;Stephen
1-390250582;Low;2010-08-18 14:42:02;Accepted;In Progress; C;C_6;G261;3rd;PROD424;se;USA;Stephen
1-390722958;Low;2010-08-11 09:39:44;Accepted;In Progress; G4;;S30;2nd;PROD412;se;Sweden;Christer
1-390722958;Low;2012-01-16 14:43:19;Accepted;Assigned; G4;;S30;2nd;PROD412;se;Sweden;Christer
1-390722958;Low;2012-03-23 13:53:11;Accepted;In Progress; G4;;S30;2nd;PROD412;se;Sweden;Christer
1-390722958;Low;2012-03-23 13:54:08;Completed;Closed; G4;;S30;2nd;PROD412;se;Sweden;Christer
1-392812598;Medium;2012-01-04 16:58:37;Accepted;In Progress; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-392812598;Medium;2012-01-04 16:59:08;Completed;Closed; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-397446945;Medium;2012-01-31 09:01:21;Accepted;In Progress; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-397446945;Medium;2012-01-31 09:02:46;Completed;Closed; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-399013423;Medium;2010-09-06 11:04:31;Queued;Awaiting Assignment; G4;;G51;2nd;PROD821;se;Sweden;Ing-Marie
1-399628501;Medium;2010-09-07 14:19:41;Accepted;In Progress; G4;;S29;2nd;PROD368;se;Sweden;David
1-399628501;Medium;2010-12-02 11:45:01;Accepted;Assigned; G4;;S29;2nd;PROD368;se;Sweden;David
1-402328919;Low;2010-09-16 15:39:32;Accepted;In Progress; A2;A2_2;M1;2nd;PROD753;cn;Sweden;Tomas
1-402328919;Low;2012-05-29 09:32:02;Completed;Closed; A2;A2_2;M1;2nd;PROD753;cn;Sweden;Tomas
1-403006315;Medium;2012-01-31 09:54:38;Accepted;In Progress; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-403006315;Medium;2012-01-31 09:59:04;Completed;Closed; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-404005175;Low;2010-09-23 15:32:09;Accepted;In Progress; G4;;S33;2nd;PROD304;se;Sweden;Per
1-404005175;Low;2010-12-05 13:28:02;Accepted;Wait; G4;;S33;2nd;PROD304;se;Sweden;Per
1-404005175;Low;2012-01-26 12:06:11;Completed;Closed; G4;;S33;2nd;PROD304;se;Sweden;Per
1-404084309;Low;2010-09-23 18:58:12;Accepted;In Progress; G4;;S33;2nd;PROD374;se;Sweden;Per
1-404084309;Low;2011-01-14 14:54:47;Accepted;Wait; G4;;S33;2nd;PROD374;se;Sweden;Per
1-404084309;Low;2012-02-29 15:32:37;Accepted;Wait; G4;;S33;2nd;PROD374;se;Sweden;Per
1-404084309;Low;2012-02-29 15:32:38;Completed;Closed; G4;;S33;2nd;PROD374;se;Sweden;Per
1-404736991;Medium;2010-09-29 08:53:12;Accepted;In Progress; B;E_10;G230;2nd;PROD424;in;France;Nicolas
1-404736991;Medium;2010-11-16 11:09:29;Accepted;In Progress; B;E_10;G230;2nd;PROD424;in;INDIA;Rijin
1-404736991;Medium;2010-11-16 11:22:09;Accepted;In Progress; B;E_10;G230;2nd;PROD424;in;INDIA;Rijin
1-404736991;Medium;2010-11-19 17:26:11;Accepted;Wait; B;E_10;G230;2nd;PROD424;in;INDIA;Rijin
1-404736991;Medium;2011-06-30 09:22:26;Accepted;In Progress; B;E_10;G230;2nd;PROD424;in;INDIA;Rijin
1-404736991;Medium;2011-07-01 16:08:45;Accepted;Wait; B;E_10;G230;2nd;PROD424;in;INDIA;Rijin
1-404736991;Medium;2012-02-29 18:04:06;Accepted;In Progress; B;E_10;G230;2nd;PROD424;in;INDIA;Rijin
1-404736991;Medium;2012-02-29 18:07:28;Completed;Closed; B;E_10;G230;2nd;PROD424;in;INDIA;Rijin
1-406066421;Medium;2011-06-17 10:16:19;Accepted;In Progress; C;C_6;G250;3rd;PROD660;se;Sweden;Kenneth
1-406066421;Medium;2012-01-04 12:33:27;Completed;Closed; C;C_6;G250;3rd;PROD660;se;Sweden;Kenneth
1-407876996;Medium;2010-10-08 16:16:15;Accepted;In Progress; G4;;G51;2nd;PROD821;se;Sweden;Ing-Marie
1-407876996;Medium;2010-10-08 16:19:28;Queued;Awaiting Assignment; G4;;G51;2nd;PROD821;se;Sweden;Ing-Marie
1-408853759;Medium;2012-02-04 10:50:38;Accepted;In Progress; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-408853759;Medium;2012-02-04 10:53:53;Completed;Closed; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-413205820;Low;2010-10-25 12:53:47;Accepted;In Progress; A2;A2_4;G113;2nd;PROD546;us;USA;Fredrik
1-413205820;Low;2011-10-05 22:07:51;Accepted;In Progress; A2;A2_4;G113;2nd;PROD546;us;USA;Fredrik
1-413205820;Low;2011-10-05 22:07:59;Queued;Awaiting Assignment; A2;A2_4;L23;3rd;PROD546;us;USA;Fredrik
1-413205820;Low;2011-10-06 19:05:33;Accepted;In Progress; A2;A2_4;G113;2nd;PROD546;us;USA;Fredrik
1-413205820;Low;2011-12-06 21:31:33;Accepted;Assigned; A2;A2_4;G113;2nd;PROD546;us;USA;Joakim
1-413205820;Low;2012-01-04 13:52:57;Completed;Closed; A2;A2_4;G113;2nd;PROD546;us;USA;Joakim
1-413665008;High;2010-10-26 08:14:34;Accepted;In Progress; A2;A2_2;M1;2nd;PROD753;cn;Sweden;Tomas
1-413665008;High;2012-05-29 09:24:46;Completed;Closed; A2;A2_2;M1;2nd;PROD753;cn;Sweden;Tomas
1-415000020;Medium;2010-11-01 08:37:07;Accepted;In Progress; C;C_6;G141;3rd;PROD660;se;Sweden;Jonas
1-415000020;Medium;2010-11-01 11:00:46;Queued;Awaiting Assignment; C;E_7;G135;2nd;PROD660;se;Sweden;Anna
1-415000020;Medium;2011-09-08 10:19:39;Accepted;In Progress; C;E_7;G135;2nd;PROD660;se;Sweden;Anna
1-415000020;Medium;2011-09-08 10:19:45;Accepted;Wait; C;E_7;G135;2nd;PROD660;se;Sweden;Anna
1-415000020;Medium;2012-02-01 14:00:34;Accepted;In Progress; C;E_7;G135;2nd;PROD660;se;Sweden;Anna
1-415000020;Medium;2012-02-01 14:00:54;Completed;Closed; C;E_7;G135;2nd;PROD660;se;Sweden;Anna
1-415822336;Medium;2010-11-03 08:04:02;Accepted;In Progress; G4;;S30;2nd;PROD412;se;Sweden;Viktoria
1-415822336;Medium;2010-11-03 09:52:09;Accepted;Wait; G4;;S30;2nd;PROD412;se;Sweden;Viktoria
1-415822336;Medium;2010-11-24 13:41:08;Queued;Awaiting Assignment; G4;;S30;2nd;PROD412;se;Sweden;Viktoria
1-415822336;Medium;2010-11-24 14:08:53;Queued;Awaiting Assignment; G4;;S30;2nd;PROD412;se;Sweden;Viktoria
1-415822336;Medium;2010-11-25 14:37:13;Queued;Awaiting Assignment; G4;;S30;2nd;PROD412;se;Sweden;Viktoria
1-415822336;Medium;2010-11-25 14:38:42;Accepted;In Progress; G4;;S30;2nd;PROD412;se;Sweden;Viktoria
1-415822336;Medium;2010-11-25 14:40:20;Accepted;Wait; G4;;S30;2nd;PROD412;se;Sweden;Viktoria
1-417868043;Medium;2012-01-30 13:05:37;Accepted;In Progress; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-417868043;Medium;2012-01-30 13:06:01;Completed;Closed; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-418122119;Medium;2012-02-04 12:31:11;Accepted;In Progress; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-418122119;Medium;2012-02-04 12:32:21;Completed;Closed; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-419236954;Medium;2012-02-04 12:32:39;Accepted;In Progress; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-419236954;Medium;2012-02-04 12:36:16;Completed;Closed; G3;;G199;3rd;PROD98;us;POLAND;Ewa
1-422418092;Medium;2010-11-19 18:20:40;Accepted;In Progress; G4;;S30;2nd;PROD412;se;Sweden;Viktoria
